[17-04-2015 09:29:49]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:29:49]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:30:02]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:30:02]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:30:02]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:30:02]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:30:02]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:30:02]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:33:17]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:33:18]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:33:18]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:36:26]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:36:26]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:36:26]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:39:38]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:39:39]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:40:49]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:40:49]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:42:17]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:42:17]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:42:57]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:42:58]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:44:59]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:44:59]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:44:59]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:45:00]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:45:00]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:45:00]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:45:00]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:45:00]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:45:00]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:51:18]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:18]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:51:18]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:51:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:51:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:51:19]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:19]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:51:19]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:51:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:25]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:51:38]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:56:28]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:28]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:29]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:29]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:34]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:34]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:56:34]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:56:35]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:35]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:56:35]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:56:35]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:56:35]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:56:35]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:37]:[ControllerRol][getRolById]:Buscando id:1
[17-04-2015 09:57:37]:[ControllerRol][getRolById]:Encontro id:1
[17-04-2015 09:57:37]:[ControllerRol][getRolById]:Exito    id:1
[17-04-2015 09:57:38]:[ControllerRol][getRolById]:Buscando id:1
